Admin 0,Admin 1,Admin 2,Admin 3,Latitude,Longitude
Pakistan,Azad Kashmir,Azad Kashmir,Bagh,33.96205,73.8776
Pakistan,Azad Kashmir,Azad Kashmir,Bhimber,33.01625,74.14775
Pakistan,Azad Kashmir,Azad Kashmir,Kotli,33.4396,73.87195
Pakistan,Azad Kashmir,Azad Kashmir,Mirpur,33.2105,73.71365
Pakistan,Azad Kashmir,Azad Kashmir,Muzaffarabad,34.3151,73.69
Pakistan,Azad Kashmir,Azad Kashmir,Neelum,34.791,74.5573
Pakistan,Azad Kashmir,Azad Kashmir,Poonch,33.8053,73.7828
Pakistan,Azad Kashmir,Azad Kashmir,Sudhnati,33.71665,73.7117
Pakistan,Baluchistan,Kalat,Awaran,26.49805,65.20865
Pakistan,Baluchistan,Kalat,Disputed Area 1,26.0086,65.93215
Pakistan,Baluchistan,Kalat,Disputed Area 2,26.6534,67.0099
Pakistan,Baluchistan,Kalat,Kalat,28.79995,66.6195
Pakistan,Baluchistan,Kalat,Kharan,28.14035,64.4856
Pakistan,Baluchistan,Kalat,Khuzdar,27.32585,66.58425
Pakistan,Baluchistan,Kalat,Lasbela,25.78855,66.3827
Pakistan,Baluchistan,Kalat,Mastung,29.5916,66.93304
Pakistan,Baluchistan,Makran,Gwadar,25.4237,63.44405
Pakistan,Baluchistan,Makran,Kech,26.0264,63.122
Pakistan,Baluchistan,Makran,Panjgur,26.72855,64.26145
Pakistan,Baluchistan,Nasirabad,Bolan,29.3516,67.83791
Pakistan,Baluchistan,Nasirabad,Jafarabad,28.27865,68.3274
Pakistan,Baluchistan,Nasirabad,Jhal Magsi,28.3548,67.5188
Pakistan,Baluchistan,Nasirabad,Nasirabad,28.67175,68.12241
Pakistan,Baluchistan,Quetta,Chagai,28.9013,63.63895
Pakistan,Baluchistan,Quetta,Pishin,30.63405,67.0403
Pakistan,Baluchistan,Quetta,Qilla Abdullah,30.8681,66.84435
Pakistan,Baluchistan,Quetta,Quetta,30.12245,66.7807
Pakistan,Baluchistan,Sibi,Dera Bugti,29.0695,69.00935
Pakistan,Baluchistan,Sibi,Kholu,29.63415,68.8476
Pakistan,Baluchistan,Sibi,Sibi,29.833,67.8884
Pakistan,Baluchistan,Sibi,Ziarat,30.4388,67.5485
Pakistan,Baluchistan,Zhob,Barkhan,29.98255,69.54115
Pakistan,Baluchistan,Zhob,Loralai,30.2941,68.695
Pakistan,Baluchistan,Zhob,Musakhel,30.86415,69.835
Pakistan,Baluchistan,Zhob,Qilla Saifullah,30.9495,68.3819
Pakistan,Baluchistan,Zhob,Zhob,31.2728,68.7652
Pakistan,F.A.T.A.,F.A.T.A.,Bajaur,34.73665,71.4942
Pakistan,F.A.T.A.,F.A.T.A.,Khyber,34.03145,70.9853
Pakistan,F.A.T.A.,F.A.T.A.,Kurram,33.6794,70.321
Pakistan,F.A.T.A.,F.A.T.A.,Largha Shirani,31.48055,70.1236
Pakistan,F.A.T.A.,F.A.T.A.,Mohmand,34.43305,71.3545
Pakistan,F.A.T.A.,F.A.T.A.,N. Waziristan,32.9572,70.04125
Pakistan,F.A.T.A.,F.A.T.A.,Orakzai,33.70865,70.99855
Pakistan,F.A.T.A.,F.A.T.A.,S. Waziristan,32.52935,70.0559
Pakistan,F.C.T.,Islamabad,Islamabad,33.64875,73.05585
Pakistan,N.W.F.P.,Bannu,Bannu,32.90585,70.67365
Pakistan,N.W.F.P.,Bannu,Lakki Marwat,32.5685,70.83395
Pakistan,N.W.F.P.,Dera Ismail Khan,Dera Ismail Khan,31.88535,70.7563
Pakistan,N.W.F.P.,Dera Ismail Khan,Tank,32.2521,70.383
Pakistan,N.W.F.P.,F.A.T.A.,Adam Khel,33.6784,71.6081
Pakistan,N.W.F.P.,F.A.T.A.,Bhittani,32.4256,70.30995
Pakistan,N.W.F.P.,Hazara,Abbottabad,34.12325,73.2211
Pakistan,N.W.F.P.,Hazara,Battagram,34.77655,73.1685
Pakistan,N.W.F.P.,Hazara,Haripur,34.04755,72.8852
Pakistan,N.W.F.P.,Hazara,Kohistan,35.3812,73.30255
Pakistan,N.W.F.P.,Hazara,Mansehra,34.72145,73.4528
Pakistan,N.W.F.P.,Kohat,Hangu,33.41165,70.87225
Pakistan,N.W.F.P.,Kohat,Karak,33.0894,71.12445
Pakistan,N.W.F.P.,Kohat,Kohat,33.393,71.5644
Pakistan,N.W.F.P.,Malakand,Chitral,36.0515,72.5451
Pakistan,N.W.F.P.,Malakand,Dir,35.201,71.9399
Pakistan,N.W.F.P.,Malakand,Malakand P.A.,34.51615,71.94466
Pakistan,N.W.F.P.,Malakand,Shangla,34.7606,72.74754
Pakistan,N.W.F.P.,Malakand,Swat,35.24745,72.4665
Pakistan,N.W.F.P.,Mardan,Buner,34.4312,72.4816
Pakistan,N.W.F.P.,Mardan,Mardan,34.29795,72.11795
Pakistan,N.W.F.P.,Mardan,Swabi,34.14435,72.4963
Pakistan,N.W.F.P.,Peshawar,Charsadda,34.24525,71.73225
Pakistan,N.W.F.P.,Peshawar,Nowshera,33.9155,71.9706
Pakistan,N.W.F.P.,Peshawar,Peshawar,33.97945,71.56075
Pakistan,Northern Areas,Northern Areas,Chilas,35.45725,74.305
Pakistan,Northern Areas,Northern Areas,Gilgit,36.3619,74.2842
Pakistan,Northern Areas,Northern Areas,Gilgit (Tribal Territory),35.7628,73.7086
Pakistan,Northern Areas,Northern Areas,Kargil,35.40795,75.6412
Pakistan,Northern Areas,Northern Areas,Kupwara (Gilgit Wazarat),35.36775,74.99915
Pakistan,Northern Areas,Northern Areas,Ladakh (Leh),35.3972,76.8948
Pakistan,Punjab,Bahawalpur,Bahawalnagar,29.5971,73.13485
Pakistan,Punjab,Bahawalpur,Bahawalpur,28.8153,71.87095
Pakistan,Punjab,Bahawalpur,Rahimyar Khan,28.4505,70.42805
Pakistan,Punjab,Dera Ghazi Khan,Dera Ghazi Kha,29.88295,70.06145
Pakistan,Punjab,Dera Ghazi Khan,Layyah,31.0024,71.27485
Pakistan,Punjab,Dera Ghazi Khan,Muzaffargarh,29.86155,71.12075
Pakistan,Punjab,Dera Ghazi Khan,Rajan Pur,29.10745,70.1413
Pakistan,Punjab,Faisalabad,Faisalabad,31.233,73.16405
Pakistan,Punjab,Faisalabad,Jhang,31.27995,72.40645
Pakistan,Punjab,Faisalabad,Toba Tek Singh,30.9505,72.4936
Pakistan,Punjab,Gujranwala,Gujarat,32.4326,73.44991
Pakistan,Punjab,Gujranwala,Gujranwala 1,32.0823,74.18175
Pakistan,Punjab,Gujranwala,Gujranwala 2,32.35795,73.94265
Pakistan,Punjab,Gujranwala,Gujrat,32.70695,73.98405
Pakistan,Punjab,Gujranwala,Hafizabad,32.04975,73.48475
Pakistan,Punjab,Gujranwala,Narowal 1,32.2604,75.0901
Pakistan,Punjab,Gujranwala,Narowal 2,32.14635,74.7339
Pakistan,Punjab,Gujranwala,Sialkot,32.4577,74.53285
Pakistan,Punjab,Lahore,Kasur,30.99475,74.16335
Pakistan,Punjab,Lahore,Lahore,31.49545,74.32205
Pakistan,Punjab,Lahore,Nankana Sahib,31.44605,73.6195
Pakistan,Punjab,Lahore,Okara,30.8374,73.5184
Pakistan,Punjab,Lahore,Okara 1,30.5788,73.79655
Pakistan,Punjab,Lahore,Sheikhupura,31.6801,74.1515
Pakistan,Punjab,Multan,Khanewal,30.27555,71.9973
Pakistan,Punjab,Multan,Lodhran,29.63705,71.7791
Pakistan,Punjab,Multan,Multan,29.88155,71.4337
Pakistan,Punjab,Multan,Pakpattan,30.29965,73.24495
Pakistan,Punjab,Multan,Sahiwal,30.5479,72.8767
Pakistan,Punjab,Multan,Vehari,29.95895,72.3103
Pakistan,Punjab,Rawalpindi,Attok,33.49435,72.28885
Pakistan,Punjab,Rawalpindi,Chakwal,32.8793,72.526
Pakistan,Punjab,Rawalpindi,Jhelum,32.8391,73.17599
Pakistan,Punjab,Rawalpindi,Rawalpindi,33.5459,73.103
Pakistan,Punjab,Sargodha,Bhakkar,31.68285,71.39725
Pakistan,Punjab,Sargodha,Khushab,32.11325,72.1069
Pakistan,Punjab,Sargodha,Mianwali,32.6978,71.53059
Pakistan,Punjab,Sargodha,Sargodha,32.0699,72.7435
Pakistan,Sind,Hyderabad,Badin,24.72575,68.85275
Pakistan,Sind,Hyderabad,Dadu,26.8431,67.5894
Pakistan,Sind,Hyderabad,Hyderabad,25.40605,68.55244
Pakistan,Sind,Hyderabad,Jamshoro,25.63815,67.85835
Pakistan,Sind,Hyderabad,Matiari,25.88785,68.41565
Pakistan,Sind,Hyderabad,Tando Allahyar,24.962,68.50705
Pakistan,Sind,Hyderabad,Tando M. Khan,25.4622,68.8222
Pakistan,Sind,Hyderabad,Thatta,24.56795,67.9447
Pakistan,Sind,Karachi,Karachi Central,24.9468,67.03825
Pakistan,Sind,Karachi,Karachi East,24.8947,67.1114
Pakistan,Sind,Karachi,Karachi South,24.82195,67.03275
Pakistan,Sind,Karachi,Karachi west,25.01995,66.94984
Pakistan,Sind,Karachi,Malir,25.2046,67.3235
Pakistan,Sind,Larkana,Jakobabad,28.1955,68.5559
Pakistan,Sind,Larkana,Kashmore,28.23175,69.36411
Pakistan,Sind,Larkana,Larkana,27.57165,67.84745
Pakistan,Sind,Larkana,Shikarpur,27.8995,68.66145
Pakistan,Sind,Mirpur Khas,Mirphurkhas,25.37355,69.57635
Pakistan,Sind,Mirpur Khas,Mithi,24.9498,70.1002
Pakistan,Sind,Mirpur Khas,Sanghar,25.9944,69.33025
Pakistan,Sind,Mirpur Khas,Umerkot,25.1706,69.80305
Pakistan,Sind,Rann of Kutch,Rann of Kutch,26.83075,68.40825
Pakistan,Sind,Sukkur,Ghotki,27.856,69.67955
Pakistan,Sind,Sukkur,Khairpur,26.94465,69.1849
Pakistan,Sind,Sukkur,Naushahro Firoz,26.893,68.14275
Pakistan,Sind,Sukkur,Nawab Shah,26.29845,68.3973
Pakistan,Sind,Sukkur,Sukkur,27.54905,69.2419
